exported_at_picking_warehouse,picking_warehouse_id,shipping_warehouse_id,day,share
2024-06-13,2,1,0,0.04
2024-06-13,2,1,1,0.55
2024-06-13,2,1,2,0.41
2024-06-13,2,1,3,0
2024-06-13,2,1,4,0
2024-06-13,2,1,5,0
2024-06-13,2,1,6,0
2024-06-13,2,3,0,0.03
2024-06-13,2,3,1,0.44
2024-06-13,2,3,2,0.53
2024-06-13,2,3,3,0
2024-06-13,2,3,4,0
2024-06-13,2,3,5,0
2024-06-13,2,3,6,0
2024-06-13,3,1,0,0.04
2024-06-13,3,1,1,0.55
2024-06-13,3,1,2,0.41
2024-06-13,3,1,3,0
2024-06-13,3,1,4,0
2024-06-13,3,1,5,0
2024-06-13,3,1,6,0
2024-06-13,3,2,0,0.02
2024-06-13,3,2,1,0.41
2024-06-13,3,2,2,0.57
2024-06-13,3,2,3,0
2024-06-13,3,2,4,0
2024-06-13,3,2,5,0
2024-06-13,3,2,6,0
2024-06-14,1,2,0,0.02
2024-06-14,1,2,1,0.18
2024-06-14,1,2,2,0
2024-06-14,1,2,3,0.8
2024-06-14,1,2,4,0
2024-06-14,1,2,5,0
2024-06-14,1,2,6,0
2024-06-14,1,3,0,0.02
2024-06-14,1,3,1,0.3
2024-06-14,1,3,2,0
2024-06-14,1,3,3,0.68
2024-06-14,1,3,4,0
2024-06-14,1,3,5,0
2024-06-14,1,3,6,0
2024-06-14,2,1,0,0.04
2024-06-14,2,1,1,0.4
2024-06-14,2,1,2,0
2024-06-14,2,1,3,0.56
2024-06-14,2,1,4,0
2024-06-14,2,1,5,0
2024-06-14,2,1,6,0
2024-06-14,2,3,0,0.02
2024-06-14,2,3,1,0.3
2024-06-14,2,3,2,0
2024-06-14,2,3,3,0.68
2024-06-14,2,3,4,0
2024-06-14,2,3,5,0
2024-06-14,2,3,6,0
2024-06-14,3,1,0,0.04
2024-06-14,3,1,1,0.4
2024-06-14,3,1,2,0
2024-06-14,3,1,3,0.56
2024-06-14,3,1,4,0
2024-06-14,3,1,5,0
2024-06-14,3,1,6,0
2024-06-14,3,2,0,0.02
2024-06-14,3,2,1,0.18
2024-06-14,3,2,2,0
2024-06-14,3,2,3,0.8
2024-06-14,3,2,4,0
2024-06-14,3,2,5,0
2024-06-14,3,2,6,0
2024-06-15,1,2,0,0.02
2024-06-15,1,2,1,0
2024-06-15,1,2,2,0.38
2024-06-15,1,2,3,0.6
2024-06-15,1,2,4,0
2024-06-15,1,2,5,0
2024-06-15,1,2,6,0
2024-06-15,1,3,0,0.01
2024-06-15,1,3,1,0
2024-06-15,1,3,2,0.28
2024-06-15,1,3,3,0.71
2024-06-15,1,3,4,0
2024-06-15,1,3,5,0
2024-06-15,1,3,6,0
2024-06-15,2,1,0,0.01
2024-06-15,2,1,1,0
2024-06-15,2,1,2,0.53
2024-06-15,2,1,3,0.46
2024-06-15,2,1,4,0
2024-06-15,2,1,5,0
2024-06-15,2,1,6,0
2024-06-15,2,3,0,0.01
2024-06-15,2,3,1,0
2024-06-15,2,3,2,0.28
2024-06-15,2,3,3,0.71
2024-06-15,2,3,4,0
2024-06-15,2,3,5,0
2024-06-15,2,3,6,0
2024-06-15,3,1,0,0.01
2024-06-15,3,1,1,0
2024-06-15,3,1,2,0.53
2024-06-15,3,1,3,0.46
2024-06-15,3,1,4,0
2024-06-15,3,1,5,0
2024-06-15,3,1,6,0
2024-06-15,3,2,0,0.02
2024-06-15,3,2,1,0
2024-06-15,3,2,2,0.38
2024-06-15,3,2,3,0.6
2024-06-15,3,2,4,0
2024-06-15,3,2,5,0
2024-06-15,3,2,6,0
2024-06-16,1,2,0,0
2024-06-16,1,2,1,0.04
2024-06-16,1,2,2,0.54
2024-06-16,1,2,3,0.42
2024-06-16,1,2,4,0
2024-06-16,1,2,5,0
2024-06-16,1,2,6,0
2024-06-16,1,3,0,0
2024-06-16,1,3,1,0.03
2024-06-16,1,3,2,0.82
2024-06-16,1,3,3,0.15
2024-06-16,1,3,4,0
2024-06-16,1,3,5,0
2024-06-16,1,3,6,0
2024-06-16,2,1,0,0
2024-06-16,2,1,1,0.07
2024-06-16,2,1,2,0.72
2024-06-16,2,1,3,0.21
2024-06-16,2,1,4,0
2024-06-16,2,1,5,0
2024-06-16,2,1,6,0
2024-06-16,2,3,0,0
2024-06-16,2,3,1,0.03
2024-06-16,2,3,2,0.82
2024-06-16,2,3,3,0.15
2024-06-16,2,3,4,0
2024-06-16,2,3,5,0
2024-06-16,2,3,6,0
